USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
AL	01		Alabama	0	A	131173021778	4594353862	50646.18901	1773.890019	32.7396323	-86.8434593
AK	02		Alaska	0	A	1478954710615	245366562061	571027.6305	94736.56328	63.347356	-152.8397334
AZ	04		Arizona	0	A	294360315403	859529147	113653.158	331.8660731	34.2039355	-111.6063565
AR	05		Arkansas	0	A	134672360006	3061775129	51997.29111	1182.158037	34.8955256	-92.4446262
CA	06		California	0	A	403668729709	20296813654	155857.3745	7836.643897	37.1551773	-119.5434183
CO	08		Colorado	0	A	268416653707	1187859611	103636.2538	458.6351794	38.9937669	-105.5087122
CT	09		Connecticut	0	A	12542289823	1815824857	4842.60538	701.0939267	41.5798637	-72.7466572
DE	10		Delaware	0	A	5046719455	1399191818	1948.549358	540.2310042	38.9985661	-75.441644
DC	11		District of Columbia	0	A	158314712	18712871	61.12565464	7.225080193	38.9042474	-77.0165167
FL	12		Florida	0	A	138954404443	45979888072	53650.59778	17752.93479	28.3989775	-82.5143005
GA	13		Georgia	0	A	149485550209	4419434266	57716.69607	1706.353182	32.6295789	-83.4235109
HI	15		Hawaii	0	A	16634007011	11777792245	6422.426286	4547.431202	19.8281671	-155.4950421
ID	16		Idaho	0	A	214049937374	2391563813	82645.14638	923.3879898	44.3484222	-114.5588538
IL	17		Illinois	0	A	143779846608	6215740949	55513.7115	2399.9111	40.1028754	-89.1526108
IN	18		Indiana	0	A	92788742403	1538558469	35825.93526	594.0407712	39.9013136	-86.2919129
IA	19		Iowa	0	A	144657468817	1087980049	55852.56334	420.0714633	42.0700243	-93.4933473
KS	20		Kansas	0	A	211753602474	1345882861	81758.52648	519.6482999	38.4985464	-98.3834298
KY	21		Kentucky	0	A	102282391166	2372437825	39491.45369	916.0034043	37.5336844	-85.2929801
LA	22		Louisiana	0	A	111901550407	23749955176	43205.432	9169.909349	30.8634368	-91.7987173
ME	23		Maine	0	A	79887942759	11745416127	30844.90845	4534.930713	45.4092843	-68.666616
MD	24		Maryland	0	A	25151854722	6979212482	9711.185813	2694.689119	38.9466584	-76.6744939
MA	25		Massachusetts	0	A	20204302435	7130748339	7800.925114	2753.197443	42.1565196	-71.4895915
MI	26		Michigan	0	A	146609254262	103877553235	56606.15194	40107.34924	44.8441768	-85.6604907
MN	27		Minnesota	0	A	206231744272	18949219952	79626.52502	7316.335038	46.3159573	-94.1996043
MS	28		Mississippi	0	A	121524672921	3937888940	46920.94053	1520.427485	32.6864714	-89.6561377
MO	29		Missouri	0	A	178052892875	2486381244	68746.6092	959.9972062	38.35075	-92.4567826
MT	30		Montana	0	A	376973642667	3866720822	145550.3433	1492.949319	47.051177	-109.6348174
NE	31		Nebraska	0	A	198957258570	1371228720	76817.83026	529.4343912	41.5433053	-99.8118646
NV	32		Nevada	0	A	284537049651	1839662764	109860.3737	710.2977944	39.3310928	-116.6151469
NH	33		New Hampshire	0	A	23190065018	1026029232	8953.734542	396.1521181	43.6726907	-71.5843145
NJ	34		New Jersey	0	A	19048515040	3544426114	7354.673087	1368.510632	40.1072744	-74.6652012
NM	35		New Mexico	0	A	314197511545	727504660	121312.3426	280.8911315	34.4346843	-106.1316181
NY	36		New York	0	A	122050448177	19244881040	47123.9435	7430.490427	42.9133974	-75.5962723
NC	37		North Carolina	0	A	125932673911	13456657734	48622.8793	5195.644819	35.53971	-79.1308636
ND	38		North Dakota	0	A	178698456465	4410634249	68995.86271	1702.955477	47.442174	-100.4608258
OH	39		Ohio	0	A	105823943364	10273794584	40858.8547	3966.734434	40.4149297	-82.7119975
OK	40		Oklahoma	0	A	177664204121	3373438039	68596.53563	1302.491764	35.5900815	-97.4867789
OR	41		Oregon	0	A	248627892771	6171487395	95995.77016	2382.824706	43.9717125	-120.6229578
PA	42		Pennsylvania	0	A	115881835814	3397858897	44742.22885	1311.92071	40.9046013	-77.8275298
RI	44		Rhode Island	0	A	2677756195	1323694155	1033.887491	511.0811923	41.596485	-71.5264901
SC	45		South Carolina	0	A	77865784756	5074748453	30064.14885	1959.371415	33.8741776	-80.8542639
SD	46		South Dakota	0	A	196346030712	3383625769	75809.62951	1306.425269	44.4467957	-100.2381762
TN	47		Tennessee	0	A	106805318186	2343782579	41237.76565	904.9395515	35.860803	-86.3499896
TX	48		Texas	0	A	676678064343	18981999260	261266.8724	7328.9912	31.4347032	-99.2818238
UT	49		Utah	0	A	213355015181	6530030915	82376.83541	2521.259139	39.3349925	-111.6563326
VT	50		Vermont	0	A	23873097244	1030227476	9217.45477	397.7730692	44.0685773	-72.6691839
VA	51		Virginia	0	A	102258161424	8528087515	39482.09854	3292.713138	37.5222512	-78.6681938
WA	53		Washington	0	A	172117813215	12549888998	66455.06204	4845.539438	47.4073238	-120.5757999
WV	54		West Virginia	0	A	62266312017	489190656	24041.1585	188.8775763	38.6472854	-80.6183274
WI	55		Wisconsin	0	A	140292933626	29344263638	54167.40681	11329.88401	44.6309071	-89.7093916
WY	56		Wyoming	0	A	251458584024	1867631789	97088.70621	721.0966958	42.9896591	-107.5443922
AS	60		American Samoa	0	A	197759069	1307243751	76.35520667	504.7296555	-14.267159	-170.6682674
GU	66		Guam	0	A	543555845	934337453	209.868094	360.7497228	13.4417451	144.7719021
MP	69		Commonwealth of the Northern Mariana Islands	0	A	472292529	4644252458	182.3531727	1793.155975	14.9367835	145.601021
PR	72		Puerto Rico	0	A	8868691450	4922587165	3424.221058	1900.621611	18.217648	-66.4107992
VI	78		United States Virgin Islands	0	A	348021896	1550236199	134.372011	598.5495682	18.326748	-64.9712508
