"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1600000US0667000","San Francisco city, California","870044","*****"
"1600000US0686804","Yolo CDP, California","429","202"
"1600000US0616651","Country Club CDP, California","9846","736"
"1600000US0614008","Cleone CDP, California","804","268"
"1600000US0621061","East Richmond Heights CDP, California","3214","338"
"1600000US0620270","Durham CDP, California","5863","429"
"1600000US0651336","Nicolaus CDP, California","166","45"
"1600000US0682072","Vandenberg AFB CDP, California","3379","385"
"1600000US0644812","Macdoel CDP, California","105","108"
"1600000US0627080","Fruitdale CDP, California","899","240"
"1600000US0660942","Rio Linda CDP, California","15460","979"
"1600000US0640872","La Vina CDP, California","239","365"
"1600000US0673276","South San Gabriel CDP, California","8643","881"
"1600000US0609360","Cabazon CDP, California","3367","711"
"1600000US0657148","Pine Grove CDP, California","1730","449"
"1600000US0684578","West Modesto CDP, California","5911","812"
"1600000US0645246","Malibu city, California","12846","52"
"1600000US0675672","Sultana CDP, California","1030","332"
"1600000US0640746","Laton CDP, California","2166","360"
"1600000US0686944","Yreka city, California","7551","46"
"1600000US0614974","Commerce city, California","12933","39"
"1600000US0666004","San Diego Country Estates CDP, California","10381","598"
"1600000US0657204","Pine Hills CDP, California","3146","540"
"1600000US0610494","Camp Nelson CDP, California","0","12"
"1600000US0616322","Corning city, California","7535","22"
"1600000US0684536","West Menlo Park CDP, California","4116","408"
"1600000US0602112","Angels city, California","3811","31"
"1600000US0658422","Posey CDP, California","0","12"
"1600000US0646632","Meadow Vista CDP, California","3460","398"
"1600000US0683332","Walnut city, California","30008","32"
"1600000US0644378","Loyola CDP, California","3364","315"
"1600000US0644028","Los Banos city, California","38119","48"
"1600000US0619150","Diablo CDP, California","364","257"
"1600000US0664294","Salton City CDP, California","5611","854"
"1600000US0636770","Irvine city, California","265502","81"
"1600000US0648354","Modesto city, California","211336","78"
"1600000US0660242","Reedley city, California","25493","28"
"1600000US0649544","Mountain Center CDP, California","0","12"
"1600000US0630410","Good Hope CDP, California","9173","1186"
"1600000US0610914","Canyondam CDP, California","66","53"
"1600000US0651294","Nice CDP, California","2393","426"
"1600000US0667126","San Joaquin city, California","4021","17"
"1600000US0644760","McClellan Park CDP, California","809","240"
"1600000US0601290","Altadena CDP, California","45146","1393"
"1600000US0640438","Larkspur city, California","12375","60"
"1600000US0646114","Martinez city, California","38117","60"
"1600000US0630714","Graniteville CDP, California","0","12"
"1600000US0675994","Sunnyside CDP, California","4451","785"
"1600000US0644910","McKinleyville CDP, California","16612","928"
"1600000US0619318","Dinuba city, California","23871","29"
"1600000US0677392","Sutter Creek city, California","2538","25"
"1600000US0671806","Sierra Madre city, California","11006","44"
"1600000US0602700","Armona CDP, California","3795","630"
"1600000US0601164","Alpaugh CDP, California","1074","200"
"1600000US0660620","Richmond city, California","109340","61"
"1600000US0631029","Greenhorn CDP, California","254","92"
"1600000US0657540","Placerville city, California","10860","21"
"1600000US0668434","San Simeon CDP, California","583","262"
"1600000US0670966","Sequoia Crest CDP, California","28","42"
"1600000US0606406","Big Bear City CDP, California","13312","1027"
"1600000US0639094","Ladera CDP, California","1465","307"
"1600000US0655184","Palm Desert city, California","52124","55"
"1600000US0659506","Rancho Murieta CDP, California","5603","367"
"1600000US0601228","Alpine Village CDP, California","155","62"
"1600000US0672576","Solvang city, California","5734","22"
"1600000US0678750","Tipton CDP, California","3218","439"
"1600000US0622146","Elmira CDP, California","285","142"
"1600000US0646492","Maywood city, California","27542","24"
"1600000US0675630","Suisun City city, California","29379","63"
"1600000US0652764","Oakhurst CDP, California","3424","810"
"1600000US0633336","Herlong CDP, California","1353","201"
"1600000US0636658","Inyokern CDP, California","740","434"
"1600000US0644280","Lost Hills CDP, California","1943","265"
"1600000US0686300","Woodlake city, California","7636","18"
"1600000US0643252","Los Alamos CDP, California","1623","637"
"1600000US0680784","Tupman CDP, California","186","71"
"1600000US0655751","Parksdale CDP, California","2493","616"
"1600000US0684120","West Bishop CDP, California","2661","220"
"1600000US0621964","Elizabeth Lake CDP, California","1895","266"
"1600000US0645400","Manhattan Beach city, California","35573","99"
"1600000US0647192","Mexican Colony CDP, California","363","136"
"1600000US0619440","Dogtown CDP, California","2629","297"
"1600000US0619878","Doyle CDP, California","622","208"
"1600000US0616090","Contra Costa Centre CDP, California","6497","573"
"1600000US0678715","Timber Cove CDP, California","149","50"
"1600000US0650034","Murphys CDP, California","2100","424"
"1600000US0646884","Mentone CDP, California","9847","564"
"1600000US0608786","Buena Park city, California","82781","64"
"1600000US0614904","Columbia CDP, California","2217","346"
"1600000US0625590","Freeport CDP, California","81","67"
"1600000US0604198","Bass Lake CDP, California","500","240"
