0|acalanesridge/cdp|Acalanes Ridge CDP, California|Contra Costa County|1193073|0|0.461|0|37.904722|-122.078574|1226|1212|801|0|0|289|0|0|122|14|14|0|0|0|0|0|0|62314|160000|190104|807000|1992|1956|2.82|3.19|933|919|592|226|102|||||||||||||||||||||
1|acampo/cdp|Acampo CDP, California|San Joaquin County|2428474|0|0.938|0|38.173529|-121.279892|776|350|350|0|0|0|0|0|0|426|426|0|0|0|0|0|0|36756|141250|-|302800|-|1995|4.08|6.09|588|447|102|84|42|||||||||||||||||||||
2|acton/cdp|Acton CDP, California|Los Angeles County|101679347|60418|39.259|0.023|34.496259|-118.183891|6956|5921|5476|109|11|116|0|55|154|1035|606|1|0|0|0|411|17|39131|92245|99448|421700|1954|1988|2.74|3.06|4997|4496|1388|482|162|||||||||||||||||||||
3|adelanto|Adelanto city, California|San Bernardino County|145061536|45848|56.009|0.018|34.585975|-117.442863|31773|14274|5538|6358|4|481|290|28|1575|17499|12298|239|31|31|0|4262|638|9998|35262|35537|95200|1057|1997|4.07|4.28|15710|10827|1012|208|51|31213|189|3|18||37|131|790|422|257|111|11|8954|4407|1621|485|12|59|56|60|2254
4|adin/cdp|Adin CDP, California|Modoc County|8901691|15858|3.437|0.006|41.199312|-120.956779|215|215|212|0|3|0|0|0|0|0|0|0|0|0|0|0|0|15452|29583|60083|93600|-|1964|3.08|3.4|124|124|4|0|0|||||||||||||||||||||
5|agourahills|Agoura Hills city, California|Los Angeles County|20184269|75582|7.793|0.029|34.148942|-118.76393|20630|17895|15565|372|12|1425|0|49|472|2735|1587|0|0|29|0|822|297|50242|107268|118673|672900|1890|1980|2.81|3.15|14312|13677|7322|3050|1083|20767|17|0||5|3|9|234|66|156|12|1|13586|5551|4369|363|39|98|14|139|3013
6|aguadulce/cdp|Agua Dulce CDP, California|Los Angeles County|59181140|14646|22.85|0.006|34.504593|-118.316384|2898|2272|1929|6|0|59|0|0|278|626|327|0|0|12|0|118|169|37538|88864|102989|500700|872|1985|2.71|2.95|2139|2049|639|162|82|||||||||||||||||||||
7|aguanga/cdp|Aguanga CDP, California|Riverside County|35222113|0|13.599|0|33.452246|-116.85547|897|749|704|30|0|0|0|0|15|148|77|0|0|0|0|71|0|26330|50213|52420|153100|-|1993|2.15|3.06|693|600|80|46|46|||||||||||||||||||||
8|ahwahnee/cdp|Ahwahnee CDP, California|Madera County|25961480|0|10.024|0|37.365224|-119.7193|2165|2135|2088|0|37|1|0|0|9|30|16|0|0|0|0|0|14|34915|59129|69583|288700|1103|1983|2.38|3.16|1482|1399|192|98|85|||||||||||||||||||||
9|airport/cdp|Airport CDP, California|Stanislaus County|1517618|27610|0.586|0.011|37.631584|-120.977328|1547|479|443|36|0|0|0|0|0|1068|828|0|0|0|0|235|5|11709|21607|32292|88300|907|1952|3.28|3.74|917|361|23|0|0|||||||||||||||||||||
